Club Name TM,Club Name Wikidata,venueLabel,Latitude,Longitude
Audax Italiano,Audax Italiano,Estadio Bicentenario de La Florida,-33.540833,-70.578333
Avaí Futebol Clube,Avaí Futebol Clube,Estádio da Ressacada,-27.666389,-48.531667
Palmeiras Nordeste Futebol,Palmeiras Nordeste Futebol,Estádio Joia da Princesa,-12.244583,-38.97235
Avellino ,U.S. Avellino 1912,Stadio Partenio-Adriano Lombardi,40.926944,14.7925
B. Dortmund II ,Borussia Dortmund II,Stadion Rote Erde,51.4925,7.454444
Kuban II ,FC Kuban Krasnodar,Kuban Stadium,45.02527778,38.99944444
Legia II ,Legia Warsaw,Polish Army Stadium,52.220461,21.040628
B. Jerusalem ,Beitar Jerusalem F.C.,Teddy Stadium,31.751167,35.190617
B. Podgorica ,FK Budućnost Podgorica,Podgorica City Stadium,42.444728,19.264378
BD Yingli ETS ,Baoding Yingli Yitong,Baoding People's Stadium,38.856432,115.481581
FK Bodø/Glimt,FK Bodø/Glimt,Aspmyra Stadion,67.2775,14.38416667
BJ BSU ,Beijing Guoan F.C.,Workers Stadium,39.929528,116.441139
VfB Stuttgart,VfB Stuttgart,Mercedes-Benz Arena,48.792222,9.231944
BK Häcken,BK Häcken,Rambergsvallen,57.71888889,11.93083333
BSC Young Boys,BSC Young Boys,Stade de Suisse,46.962778,7.465
Balikesirspor ,Balıkesirspor,Balıkesir Atatürk Stadium,39.64151944,27.88785
Banik Ostrava ,FC Baník Ostrava,Bazaly,49.845111,18.299392
Baniyas SC,Baniyas SC,Baniyas Stadium,24.34986,54.68571
Barnsley F.C.,Barnsley F.C.,Oakwell,53.552222,-1.4675
Baroka F.C.,Baroka F.C.,Ngwana Mohube Sports Ground,-24.3049,29.6234
Bayer 04 Leverkusen,Bayer 04 Leverkusen,BayArena,51.03825556,7.002205555
Beijing Guoan F.C.,Beijing Guoan F.C.,Workers Stadium,39.929528,116.441139
Benevento ,Benevento Calcio,Stadio Ciro Vigorito,41.116389,14.781111
Berekum Chelsea ,Berekum Chelsea F.C.,Berekum Sports Stadium,7.45380556,-2.585
Beşiktaş,Beşiktaş,Vodafone Park,41.0392,28.9947
Bidvest Wits F.C.,Bidvest Wits F.C.,Bidvest Stadium,-26.187781,28.028431
Birmingham City F.C. ,Birmingham City F.C.,St Andrew's,52.47570278,-1.868188888
Blackburn Rovers F.C.,Blackburn Rovers F.C.,Ewood Park,53.72861111,-2.489166666
Blackpool F.C. ,Blackpool F.C.,Bloomfield Road,53.804722,-3.048056
Bloemfontein Celtic F.C.,Bloemfontein Celtic F.C.,Seisa Ramabodu Stadium,-29.174167,26.233611
Boavista F.C.,Boavista F.C.,Estádio do Bessa,41.16222222,-8.642777777
Boca Juniors F.C.,Boca Juniors,La Bombonera,-34.63565,-58.36465
Bologna F.C. 1909 ,Bologna F.C. 1909,Stadio Renato Dall'Ara,44.49222222,11.30972222
Bolton Wanderers F.C.,Bolton Wanderers F.C.,Reebok Stadium,53.58055556,-2.535555555
Boluspor ,Bucaspor,Buca Arena,38.395,27.19277778
Borussia Dortmund,Borussia Dortmund,Westfalenstadion,51.4925,7.451667
Borussia Mönchengladbach,Borussia Mönchengladbach,Borussia-Park,51.17458333,6.385463888
Boston River ,Boston River,Estadio Complejo Rentistas,-34.776394,-56.165854
Botafogo F.R.,Botafogo F.R.,Estádio Nilton Santos,-22.893172,-43.292269
Botev Plovdiv ,PFC Botev Plovdiv,Hristo Botev Stadium,42.139861,24.764444
Bradford ,Bradford City A.F.C.,Valley Parade,53.80422222,-1.759022222
Bregenz ,SC Schwarz-Weiß Bregenz,Casino Stadium,47.5034,9.73478
Safa Beirut SC ,Safa SC,Safa Stadium,33.87472222,35.49194444
Umm Salal SC,Umm Salal SC,Thani bin Jassim Stadium,25.34474,51.440562
Brentford F.C.,Brentford F.C.,Griffin Park,51.488167,-0.302639
